URL	Status	Previous traffic	Current traffic	Traffic change	Previous traffic value	Current traffic value	Traffic value change	Previous # of keywords	Current # of keywords	Keywords change	Previous top keyword	Current top keyword	Previous top keyword: Country	Current top keyword: Country	Previous top keyword: Volume	Current top keyword: Volume	Previous top keyword: Position	Current top keyword: Position	Top keyword: Position change
https://flatearthequipment.com/rental/construction-equipment-rental/what-is-the-fuel-capacity-of-a-746b-bobcat/		1	0	-1				4	3	-1	bobcat 743b lift capacity	bobcat 743b lift capacity	United States	United States	40	40	16	18	-2
https://flatearthequipment.com/rental/telehandler/wyoming-telehandler-rental/		0	0		0.00		0.00	2	1	-1	telehandler rental costs	telehandler forklift rentals fort collins co	United States	United States	10	0	80	30	
https://flatearthequipment.com/parts/forklift-parts/2000-12-can-bus-code-2/	New		0						1	1		2000/12		United States		6300		75	
https://flatearthequipment.com/parts/forklift-parts/ty53720-u2231-71/		0	0		0.00	0.00	0.00	1	1		53720-u2231-71	53720-u2231-71	United States	United States	10	10	10	12	-2
https://flatearthequipment.com/undercarriage-parts/		0	0		0.01	0.00	0.00	8	4	-4	excavator undercarriage parts	excavator undercarriage parts	United States	United States	150	150	45	53	-8
https://flatearthequipment.com/excavator-parts/		0	0		0.00	0.01	0.00	6	8	2	excavator components	excavator parts	United States	United States	60	1200	39	46	
https://flatearthequipment.com/construction-equipment-parts/	New		0						1	1		earthmoving equipment parts		United States		70		50	
https://flatearthequipment.com/tracks-and-tires/		0	0		0.00	0.00		2	1	-1	tracks and tires	tracks and tires	United States	United States	50	50	37	37	0
https://flatearthequipment.com/carpet-poles/		0	0		0.07	0.19	0.12	12	12		forklift carpet pole attachment	carpet pole	United States	United States	40	200	24	26	
https://flatearthequipment.com/daily-rentals/		0	0		0.00	0.00		1	1		daily equipment company	daily equipment company	United States	United States	20	20	96	96	0
https://flatearthequipment.com/attachments/forklift-forks/shaft-mounted-forks/		0	0		0.01	0.00	-0.01	1	1		shaft mounted forks	shaft mounted forks	United States	United States	20	20	25	33	-8
https://flatearthequipment.com/rental/john-deere-320-skid-steer/		0	0		0.00	0.00	0.00	2	3	1	john deere 320 skid steer	320 john deere skid steer	United States	United States	400	80	47	43	
https://flatearthequipment.com/product/toyota-seat-53720-u223171/		0	0		0.00	0.00	0.00	1	1		53720-u2231-71	53720-u2231-71	United States	United States	10	10	8	15	-7
https://flatearthequipment.com/attachments/forklift-side-shifter/		0	0		0.00	0.00	0.00	9	3	-6	forklift side shifter	side shifter forklift	United States	United States	70	30	52	47	
https://flatearthequipment.com/toro/		0	0		0.12	0.16	0.04	3	3		toro forklift	toro forklift	United States	United States	20	20	19	18	1
https://flatearthequipment.com/product/forklift-forks-class-iii-std-taper-48-x-6-x-2/		0	0		0.06	0.14	0.08	3	1	-2	48 inch forklift forks	48 inch forklift forks	United States	United States	20	20	16	12	4
https://flatearthequipment.com/		0	0		0.05	0.05		1	1		earth equipment	earth equipment	United States	United States	20	20	18	18	0
https://flatearthequipment.com/parts/forklift-parts/seats-2/		0	0		0.00	0.00	0.00	1	1		clark forklift seats	clark forklift seats	United States	United States	20	20	52	47	5
https://flatearthequipment.com/product/cat-91a1431010-vinyl-suspension-seat/	New		0			0.05	0.05		2	2		cat forklift seat		United States		30		17	
https://flatearthequipment.com/rental/construction-equipment-rental/john-deere-250-skid-steer/	New		0			0.07	0.07		13	13		john deere 250 lift capacity		United States		30		15	
https://flatearthequipment.com/parts/construction-equipment-parts/jcb-telehandler-serial-number-location-2/		0	0		0.00		0.00	6	1	-5	jcb code lookup	jcb code lookup	United States	United States	60	60	19	30	-11
https://flatearthequipment.com/by-brand/		0	0		0.00	0.00		1	1		earth equipment	earth equipment	United States	United States	20	20	61	61	0
https://flatearthequipment.com/heli/		0	0		0.13	0.03	-0.10	2	2		heli forklift parts	heli forklift parts	United States	United States	40	60	21	29	-8
https://flatearthequipment.com/parts/cat-p5000-throttle-control-switch-troubleshooting/		0	0		0.01	0.01	0.00	7	7		cat p5000 forklift manual	cat p5000 forklift manual	United States	United States	10	10	20	19	1
https://flatearthequipment.com/parts/attachments/forks/		0	0		0.00	0.00	0.00	3	5	2	class 3 forklift forks	flat fork	United States	United States	60	100	55	53	
https://flatearthequipment.com/las-cruces-new-mexico/		0	0		0.05	0.03	-0.02	5	5		equipment rental las cruces	equipment rental las cruces	United States	United States	80	80	28	29	-1
https://flatearthequipment.com/rental/landscaping-equipment/toro-dingo-tx427/		1	0	-1	0.14	0.00	-0.13	24	11	-13	toro dingo tx427 platform	dingo tx427 weight	United States	United States	10	20	10	22	
https://flatearthequipment.com/skid-steer-loaders/		0	0					1	1		skid steer rental pueblo	skid steer rental pueblo	United States	United States	0	0	57	51	6
https://flatearthequipment.com/attachments/forklift-forks/bent-forklift-forks/		0	0					1	1		bent forklift forks	bent forklift forks	United States	United States	40	40	17	18	-1
https://flatearthequipment.com/parts/attachments/sideshifts/		0	0		0.00	0.00		2	2		sideshift forklift	sideshift forklift	United States	United States	10	10	47	47	0
https://flatearthequipment.com/product/forklift-forks-class-iii-std-taper-42-x-5-x-2/	New		0			0.02	0.02		14	14		forklift fork size chart		United States		100		36	
https://flatearthequipment.com/product/forklift-forks-class-ii-std-taper-48-x-4-x-1-75/	New		0			0.02	0.02		1	1		48 inch forklift forks		United States		20		21	
https://flatearthequipment.com/rental/aerial-lifts/jlg-450aj/		0	0		0.01	0.04	0.03	14	14		450aj weight	450aj boom lift	United States	United States	90	50	34	21	
https://flatearthequipment.com/sinoboom/		0	0		0.00	0.00	0.00	1	1		sinoboom	sinoboom	Canada	Canada	20	20	25	25	0
https://flatearthequipment.com/product/forklift-forks-class-ii-std-taper-72-x-4-x-1-75/		1	0	-1	0.67	0.12	-0.54	2	1	-1	72 inch forklift forks	72 forklift forks	United States	United States	20	20	11	14	
https://flatearthequipment.com/bozeman-mt/		0	0		0.20	0.21	0.02	8	9	1	tool rental bozeman	rent a track hoe	United States	United States	40	50	21	22	
https://flatearthequipment.com/parts/aerial-equipment/jlg-1600292-controller/		0	0		0.22	0.18	-0.04	2	2		jlg 1600292	jlg 1600292	United States	United States	10	10	6	7	-1
https://flatearthequipment.com/rental/forklifts/importance-forklift-chains-maintenance-safety/	New		0			0.00	0.00		1	1		forklift chain replacement		United States		20		58	
https://flatearthequipment.com/forklift-battery-chargers/		0	0		0.02	0.01	-0.01	10	11	1	forklift battery charger	forklift battery chargers	United States	United States	1100	80	44	39	
https://flatearthequipment.com/location/	New		0			0.00	0.00		1	1		bobcat rental pueblo		United States		10		71	
https://flatearthequipment.com/product/forklift-forks-class-iv-std-taper-60-x-6-x-2-5/	New		0						1	1		6' forklift forks		United States		20		16	
https://flatearthequipment.com/product/forklift-forks-class-iii-std-taper-72-x-5-x-2/	New		0			0.08	0.08		1	1		72 inch forklift forks		United States		20		19	
https://flatearthequipment.com/product/forklift-charger-module-6la20671/		0	0		0.01	0.00	-0.01	3	2	-1	6la20671	6la20671	United States	United States	50	50	4	5	-1
https://flatearthequipment.com/product/forklift-forks-class-ii-std-taper-42-x-5-x-1-75/	New		0			0.07	0.07		3	3		class ii forklift		United States		30		23	
https://flatearthequipment.com/product/toyota-seat-assembly-53730-u117071/		0	0					1	1		53731u117071	53731u117071	United States	United States	0	0	11	11	0
https://flatearthequipment.com/parts/construction-equipment-parts/jcb-engine-serial-number-lookup/	Lost	0						1		-1	engine numbers 3cx		Australia		0		62		
https://flatearthequipment.com/product/forklift-forks-class-ii-std-taper-48-x-5-x-1-75/	Lost	0			0.12		-0.12	3		-3	48 inch forklift forks		United States		20		13		
https://flatearthequipment.com/parts/forklift-parts/tires/	Lost	0			0.00		0.00	1		-1	forklift load wheels		United States		20		65		
https://flatearthequipment.com/product/forklift-forks-class-ii-std-taper-54-x-5-x-1-75/	Lost	0			0.00		0.00	1		-1	flat forks		United States		30		74		
https://flatearthequipment.com/product/forklift-forks-class-iii-std-taper-96-x-5-x-2/	Lost	0			0.00		0.00	1		-1	forklift fork classifications		United States		10		34		
https://flatearthequipment.com/rental/	Lost	0			0.00		0.00	1		-1	bobcat rental pueblo		United States		10		56		
https://flatearthequipment.com/product/forklift-forks-class-iv-std-taper-48-x-6-x-2-5/	Lost	0			0.10		-0.10	1		-1	class 4 forks		United States		30		18		
