brand,model_pattern,code,title,meaning,severity,likely_causes,checks,fixes,provenance
crown,PSI_4.3L,12,End of Fault List,NONE - End of fault list,info,None,None,None,internal:manual
crown,PSI_4.3L,282,TPS2 Adapt Low Max,Closed throttle TPS2 range too high,warn,TPS2 voltage issue|Calibration drift|Sensor fault,Check TPS2 voltage at closed throttle|Test sensor|Inspect wiring,Recalibrate|Replace throttle body|Repair wiring,internal:manual
crown,PSI_4.3L,291,TPS Sensors Conflict,TPS1 and TPS2 differ more than expected,critical,Sensor mismatch|Wiring fault|Throttle assembly failure,Perform TPS1/2 voltage checks|Inspect connector|Test both sensors,Repair wiring|Replace throttle assembly|Clear fault,internal:manual
crown,PSI_4.3L,331,MAP Time Range Low,MAP sensor input voltage low,warn,TMAP sensor fault|Wiring open/short|Sensor resistance issue,Check TMAP wiring|Measure sensor resistance|Test voltage,Repair wiring|Replace TMAP sensor|Clear fault,internal:manual
crown,PSI_4.3L,332,MAP Range Low,MAP sensor input critically low,critical,TMAP open circuit|Broken wiring|Sensor failure,Check TMAP for open circuit|Test wiring continuity|Measure voltage,Replace TMAP sensor|Repair wiring|Clear fault,internal:manual
crown,PSI_4.3L,341,MAP Time Range High,MAP sensor input voltage high,warn,TMAP wiring short|Sensor fault|Connection issue,Check TMAP wiring|Inspect connections|Test sensor,Repair wiring|Replace sensor|Clear fault,internal:manual
crown,PSI_4.3L,342,MAP Range High,MAP sensor input critically high,critical,TMAP short to power|Wiring fault|Sensor failure,Check TMAP for shorts|Test wiring|Measure voltage,Replace TMAP sensor|Repair wiring|Clear fault,internal:manual
crown,PSI_4.3L,351,MAP Irrational High,MAP pressure higher than expected,warn,Vacuum leak|TMAP mounting issue|Sensor defect,Check for vacuum leaks|Inspect TMAP mounting|Test sensor,Repair vacuum lines|Remount TMAP|Replace sensor,internal:manual
crown,PSI_4.3L,352,MAP Irrational Low,MAP pressure lower than expected,warn,TMAP sensor defect|Calibration drift|Air leak,Check TMAP operation|Test sensor readings|Inspect intake,Replace TMAP sensor|Recalibrate|Seal leaks,internal:manual
crown,PSI_4.3L,353,MAP Sticking,MAP sensor not responding to changes,warn,TMAP mounting issue|Sensor defect|Clogged port,Check TMAP mounting|Inspect sensor port|Test sensor response,Remount TMAP|Clean port|Replace sensor,internal:manual
crown,PSI_4.3L,371,IAT Range Low,Intake Air Temperature sensor low,warn,IAT sensor short to GND|Wiring fault|TMAP issue,Check TMAP IAT wiring|Measure sensor resistance|Test voltage,Repair wiring|Replace TMAP sensor|Clear fault,internal:manual
crown,PSI_4.3L,381,IAT Range High,Intake Air Temperature sensor high,warn,IAT sensor open circuit|Wiring fault|TMAP issue,Check TMAP IAT wiring|Test for open circuit|Measure resistance,Repair wiring|Replace TMAP sensor|Clear fault,internal:manual
crown,PSI_4.3L,391,IAT Irrational,IAT not changing as expected,warn,TMAP connection loose|Mounting issue|Sensor drift,Check TMAP connections|Inspect mounting|Test sensor response,Secure connections|Remount TMAP|Replace sensor,internal:manual
crown,PSI_4.3L,421,EST1 Open,EST1 ignition coil driver open circuit,warn,Coil driver wiring open|Ignition module fault|Connection issue,Check coil driver wiring|Test ignition module|Inspect connections,Repair wiring|Replace ignition module|Secure connections,internal:manual
crown,PSI_4.3L,431,EST1 Short,EST1 ignition coil driver shorted,warn,Coil wiring short|Ignition coil failure|Module fault,Check coil wiring for shorts|Test ignition coil|Inspect module,Repair wiring|Replace ignition coil|Replace module,internal:manual
crown,PSI_4.3L,461,ETC Sticking,Electronic Throttle Control stuck,critical,Throttle obstruction|Wiring fault|Motor binding,Check for obstructions|Test wiring|Measure motor resistance,Remove obstruction|Repair wiring|Replace throttle,internal:manual
crown,PSI_4.3L,471,ETC Open Fault,ETC motor driver open circuit,fault,ETC wiring open|Motor driver fault|Connection issue,Check ETC wiring|Test motor drive circuit|Inspect connections,Repair wiring|Replace throttle assembly|Secure connections,internal:manual
crown,PSI_4.3L,481,ETC Spring Test Fail,ETC spring test failed,critical,Throttle spring failure|Binding|Assembly fault,Cycle ignition to retest|Inspect throttle operation|Test spring,Replace throttle assembly if persists|Lubricate|Clear fault,internal:manual
crown,PSI_4.3L,491,ETC H-Bridge Fault,H-Bridge fault on ETC driver,warn,ETC wiring short|Motor fault|Driver circuit issue,Check ETC wiring|Test motor operation|Measure resistance,Repair wiring|Replace motor|Replace throttle assembly,internal:manual
crown,PSI_4.3L,521,Low Oil Pressure,Engine oil pressure too low,critical,Low oil level|Pressure switch fault|Oil pump failure,Check oil level|Test pressure switch connection|Measure oil pressure,Add oil|Replace switch|Repair oil pump,internal:manual
crown,PSI_4.3L,531,System Voltage Low,Battery/charging system voltage low,warn,Low battery|Charging system fault|Connection issue,Check battery voltage|Test charging system|Inspect connections,Charge battery|Repair charging system|Clean connections,internal:manual
crown,PSI_4.3L,541,System Voltage High,Battery/charging system voltage high,warn,Charging system overcharge|Regulator fault|Battery issue,Check charging system output|Test voltage regulator|Inspect battery,Replace regulator|Repair charging system|Replace battery,internal:manual
crown,PSI_4.3L,551,Sensor Voltage Low,5V sensor reference voltage low,critical,Transducer power fault|ECM issue|Wiring short,Measure transducer power at TMAP|Check 5V reference|Test ECM output,Repair wiring|Replace ECM|Clear fault,internal:manual
crown,HMC_2.4L,131,Injector 1 Fault,Injector 1 open or broken,critical,Injector wiring open|Injector failure|Connection issue,Check wiring continuity|Measure resistance (13-16 ohms)|Inspect connector,Repair wiring|Replace injector|Secure connections,internal:manual
crown,HMC_2.4L,132,Injector 2 Fault,Injector 2 open circuit,critical,Injector wiring open|Injector failure|Connection issue,Check wiring continuity|Measure resistance (13-16 ohms)|Inspect connector,Repair wiring|Replace injector|Secure connections,internal:manual
crown,HMC_2.4L,133,Injector 3 Fault,Injector 3 open circuit,critical,Injector wiring open|Injector failure|Connection issue,Check wiring continuity|Measure resistance (13-16 ohms)|Inspect connector,Repair wiring|Replace injector|Secure connections,internal:manual
crown,HMC_2.4L,134,Injector 4 Fault,Injector 4 open circuit,critical,Injector wiring open|Injector failure|Connection issue,Check wiring continuity|Measure resistance (13-16 ohms)|Inspect connector,Repair wiring|Replace injector|Secure connections,internal:manual
crown,HMC_2.4L,141,ECT Range Low,Coolant sensor shorted to GND,critical,ECT sensor short|Wiring fault|Sensor failure,Check ECT wiring|Test sensor resistance|Inspect connections,Repair wiring|Replace ECT sensor|Clear fault,internal:manual
crown,HMC_2.4L,151,ECT Range High,Coolant sensor open or disconnected,critical,Open circuit|Disconnected sensor|Broken wiring,Check ECT connections|Test continuity|Inspect wiring,Reconnect sensor|Repair wiring|Replace sensor,internal:manual
crown,HMC_2.4L,161,ECT Over Temperature,High coolant temperature,critical,Overheating|Coolant leak|Cooling system fault,Inspect coolant system|Check for leaks|Test thermostat,Add coolant|Repair leaks|Replace thermostat,internal:manual
crown,HMC_2.4L,171,ECT Irrational,Coolant temperature not changing normally,warn,Thermostat stuck|Sensor drift|Coolant flow issue,Check thermostat operation|Test sensor|Inspect coolant flow,Replace thermostat|Replace sensor|Flush system,internal:manual
crown,HMC_2.4L,181,Fuel Select Conflict,Fuel select signals shorted,critical,Fuel switch wiring short|Switch fault|Connector issue,Check fuel switch wiring|Test switch|Inspect connector,Repair wiring|Replace switch|Clean connector,internal:manual
crown,HMC_2.4L,191,CAM Edges Fault,No CAM sensor signal detected,warn,CAM sensor disconnected|Sensor fault|Wiring broken,Check CAM sensor connections|Test sensor signal|Inspect wiring,Reconnect sensor|Replace sensor|Repair wiring,internal:manual
crown,HMC_2.4L,192,CAM Sync Fault,Loss of CAM synchronization,warn,CAM sensor misaligned|Encoder damage|Installation fault,Check CAM sensor installation|Inspect encoder wheel|Test timing,Reinstall sensor|Replace encoder|Adjust timing,internal:manual
crown,HMC_2.4L,193,Crank Edges Fault,No crankshaft sensor signal,warn,Crank sensor disconnected|Sensor fault|Wiring broken,Check crank sensor connections|Test sensor signal|Inspect wiring,Reconnect sensor|Replace sensor|Repair wiring,internal:manual
crown,HMC_2.4L,194,Crank Sync Fault,Loss of crankshaft synchronization,warn,Crank sensor misaligned|Encoder damage|Installation fault,Check crank sensor installation|Inspect encoder wheel|Test timing,Reinstall sensor|Replace encoder|Adjust timing,internal:manual
crown,HMC_2.4L,221,TPS1 Range Low,TPS1 voltage too low,critical,TPS1 short to GND|Throttle fault|Wiring issue,Check TPS1 wiring|Inspect throttle|Measure voltage,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,HMC_2.4L,222,TPS2 Range Low,TPS2 voltage too low,critical,TPS2 short to GND|Throttle fault|Wiring issue,Check TPS2 wiring|Inspect throttle|Measure voltage,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,HMC_2.4L,231,TPS1 Range High,TPS1 voltage too high,critical,TPS1 short to power|Open circuit|Wiring fault,Check TPS1 wiring|Test voltage|Inspect connections,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,HMC_2.4L,232,TPS2 Range High,TPS2 voltage too high,critical,TPS2 short to power|Open circuit|Wiring fault,Check TPS2 wiring|Test voltage|Inspect connections,Repair wiring|Replace throttle body|Clear fault,internal:manual
crown,HMC_2.4L,241,TPS1 Adapt Low Min,Closed throttle TPS1 too low,critical,Connector corrosion|Pin damage|Sensor drift,Check throttle connector|Inspect pins|Test resistance,Clean connector|Replace throttle body|Recalibrate,internal:manual
crown,HMC_2.4L,242,TPS2 Adapt Low Min,Closed throttle TPS2 too low,critical,Connector corrosion|Pin damage|Sensor drift,Check throttle connector|Inspect pins|Test resistance,Clean connector|Replace throttle body|Recalibrate,internal:manual
crown,HMC_2.4L,251,TPS1 Adapt High Max,WOT TPS1 too high,critical,Throttle corrosion|Sensor drift|Voltage issue,Check voltage at WOT|Inspect for corrosion|Test sensor,Clean throttle|Replace throttle body|Recalibrate,internal:manual
crown,HMC_2.4L,252,TPS2 Adapt High Max,WOT TPS2 too high,critical,Throttle corrosion|Sensor drift|Voltage issue,Check voltage at WOT|Inspect for corrosion|Test sensor,Clean throttle|Replace throttle body|Recalibrate,internal:manual
crown,HMC_2.4L,271,TPS1 Adapt High Min,WOT TPS1 too low,critical,Throttle mechanical failure|Binding|Obstruction,Check throttle operation|Test full range|Inspect mechanism,Remove obstruction|Replace throttle|Lubricate,internal:manual
crown,HMC_2.4L,272,TPS2 Adapt High Min,WOT TPS2 too low,critical,Throttle mechanical failure|Binding|Obstruction,Check throttle operation|Test full range|Inspect mechanism,Remove obstruction|Replace throttle|Lubricate,internal:manual
crown,HMC_2.4L,281,TPS1 Adapt Low Max,Closed throttle TPS1 too high,critical,TPS1 voltage drift|Calibration issue|Sensor fault,Check voltage at closed throttle|Test sensor|Inspect wiring,Recalibrate|Replace throttle body|Repair wiring,internal:manual
crown,HMC_2.4L,282,TPS2 Adapt Low Max,Closed throttle TPS2 too high,critical,TPS2 voltage drift|Calibration issue|Sensor fault,Check voltage at closed throttle|Test sensor|Inspect wiring,Recalibrate|Replace throttle body|Repair wiring,internal:manual
crown,HMC_2.4L,291,TPS Sensors Conflict,TPS1 and TPS2 values differ,critical,Sensor mismatch|Wiring fault|Connector issue,Resolve prior TPS faults|Check connector|Test both sensors,Repair connector|Replace throttle assembly|Clear faults,internal:manual
crown,HMC_2.4L,292,TPS Intermittent,Intermittent TPS signal detected,warn,Loose connection|Intermittent wiring fault|Connector corrosion,Check continuity|Wiggle test wiring|Inspect connector,Repair connections|Replace wiring|Clean connector,internal:manual
crown,HMC_2.4L,331,MAP Time Range Low,MAP sensor voltage low,warn,TMAP wiring open|Sensor resistance issue|Connection fault,Check TMAP wiring|Measure sensor resistance|Test voltage,Repair wiring|Replace TMAP|Clear fault,internal:manual
crown,KUBOTA_WG3800,P016,Crank/CAM Sync Fail,CRANK/CAM synchronization failure during start,critical,Sensor misalignment|Encoder damage|Timing issue,Check crank and CAM sensor installation|Inspect encoder wheels|Test timing,Reinstall sensors|Replace encoders|Adjust timing,internal:manual
crown,KUBOTA_WG3800,P0107,MAP Low Voltage,MAP sensor voltage too low,warn,MAP sensor fault|Wiring short to GND|Connection issue,Check MAP sensor wiring|Test sensor voltage|Inspect connections,Repair wiring|Replace MAP sensor|Secure connections,internal:manual
crown,KUBOTA_WG3800,P0108,MAP High Pressure,MAP sensor pressure too high,warn,MAP sensor fault|Wiring short to power|Vacuum leak,Check MAP sensor|Test wiring|Inspect vacuum lines,Replace MAP sensor|Repair wiring|Fix vacuum leak,internal:manual
crown,KUBOTA_WG3800,P0112,IAT Low Voltage,Intake Air Temperature sensor voltage low,warn,IAT sensor short to GND|Wiring fault|Sensor failure,Check IAT sensor wiring|Test voltage|Measure resistance,Repair wiring|Replace IAT sensor|Clear fault,internal:manual
crown,KUBOTA_WG3800,P0113,IAT High Voltage,Intake Air Temperature sensor voltage high,warn,IAT sensor open circuit|Wiring fault|Connection issue,Check IAT connections|Test for open circuit|Inspect wiring,Reconnect sensor|Repair wiring|Replace sensor,internal:manual
crown,KUBOTA_WG3800,P0111,IAT Higher Expected S1,IAT higher than expected Stage 1,warn,IAT sensor reading high|Ambient temp issue|Sensor drift,Check IAT sensor operation|Compare to ambient|Test calibration,Replace sensor|Recalibrate|Check installation,internal:manual
crown,KUBOTA_WG3800,P0127,IAT Higher Expected S2,IAT higher than expected Stage 2,fault,IAT sensor severe drift|Overheating intake|Sensor failure,Check intake air temp|Inspect cooling|Test sensor accuracy,Replace IAT sensor|Fix cooling issue|Clear fault,internal:manual
crown,KUBOTA_WG3800,P0116,ECT Higher Expected S1,ECT higher than expected Stage 1,warn,Coolant sensor reading high|Cooling issue|Sensor drift,Check ECT sensor operation|Inspect cooling system|Test calibration,Replace sensor|Fix cooling|Recalibrate,internal:manual
crown,KUBOTA_WG3800,P0117,ECT Low Voltage,Engine Coolant Temperature sensor voltage low,warn,ECT sensor short to GND|Wiring fault|Sensor failure,Check ECT wiring|Test voltage|Measure resistance,Repair wiring|Replace ECT sensor|Clear fault,internal:manual
crown,KUBOTA_WG3800,P0118,ECT High Voltage,Engine Coolant Temperature sensor voltage high,warn,ECT sensor open circuit|Wiring fault|Connection issue,Check ECT connections|Test for open circuit|Inspect wiring,Reconnect sensor|Repair wiring|Replace sensor,internal:manual
crown,ELECTRIC,103,Intermittent Disable,Intermittent disable on move,fault,Wiring fault|Key switch issue|Controller glitch,Check wiring connections|Inspect key switch|Test controller,Repair wiring|Replace key switch|Reset by key cycle,internal:manual
crown,ELECTRIC,201,Display Access Fail,Display/Access communication failure,fault,Sticking relay|Module fault|Communication error,Replace relay|Check module connections|Test communication lines,Replace relay|Replace module|Repair wiring,internal:manual
crown,ELECTRIC,301,Display Access Fail,Display/Access communication failure (alternate),fault,Sticking relay|Module fault|Communication error,Replace relay|Check module connections|Test communication lines,Replace relay|Replace module|Repair wiring,internal:manual
crown,ELECTRIC,501,Display Access Fail,Display/Access communication failure (alternate),fault,Sticking relay|Module fault|Communication error,Replace relay|Check module connections|Test communication lines,Replace relay|Replace module|Repair wiring,internal:manual
crown,ELECTRIC,105,Module Fault,Controller module communication fault,fault,Module failure|Wiring issue|Communication error,Check module connections|Test wiring|Inspect controller,Replace module|Repair wiring|Reset system,internal:manual
crown,ELECTRIC,231,Unknown Fault,Not in repair manual - possibly hydraulic/control,warn,Unknown cause|Hydraulic issue|Control system fault,Consult service manual|Check hydraulic system|Contact dealer,Follow service procedures|Professional diagnosis required|Update firmware,internal:manual
crown,ELECTRIC,513,Hydraulic/Wire Issue,Hydraulic or wiring issue,fault,Wiring short|Low voltage|Hydraulic fault,Inspect wiring for shorts|Use multimeter to test|Check hydraulic system,Repair wiring shorts|Fix voltage issue|Repair hydraulics,internal:manual
crown,ELECTRIC,514,Hydraulic/Wire Issue,Hydraulic or wiring issue (alternate),fault,Wiring short|Low voltage|Hydraulic fault,Inspect wiring for shorts|Use multimeter to test|Check hydraulic system,Repair wiring shorts|Fix voltage issue|Repair hydraulics,internal:manual
crown,ELECTRIC,978,Dash Communication Error,Dashboard communication failure,fault,Communication failure|Power issue to display|Module fault,Check power to display|Test communication lines|Inspect connections,Reset system|Repair power supply|Replace display,internal:manual
crown,ELECTRIC,13,Lift Motor Circuit Fault,Lift motor circuit malfunction,fault,Lift motor issue|Controller fault|Wiring problem,Inspect lift motor|Check controller output|Test motor wiring,Replace motor|Repair controller|Fix wiring,internal:manual
crown,ELECTRIC,BD1,General System Error,Specific error requiring diagnostic procedure,warn,General system fault|Battery issue|Connection problem,Check batteries|Inspect all connections|Follow diagnostic video,Repair connections|Charge/replace batteries|Reset system,internal:manual
